,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
31,NWSA,18.8,104,0.32518390507210093,77.64471057884231,0.5896407587193614,86.42714570858283,0.32348669142786873,78.84231536926147,0.0131405298420583,36.92614770459082,N/A
32,O,61.64,31,-0.17546709067741698,12.375249500998004,0.030298558277423556,11.776447105788424,-0.05193903294644455,9.580838323353294,-0.026906278941381097,14.97005988023952,N/A
33,ODFL,206.09,9,0.630506066618729,93.21357285429141,0.15182695585697523,30.538922155688624,0.04953645875959522,27.345309381237527,-0.03059078141134281,13.572854291417165,N/A
34,PPG,149.24,13,0.2009771646070448,61.07784431137725,0.4098602763887976,68.6626746506986,0.17603146902019015,53.89221556886228,0.04108010623424797,52.49500998003992,N/A
35,PNW,79.84,24,-0.08737821024162941,20.758483033932134,0.04683616885537099,14.570858283433132,-0.05119542406111612,9.780439121756487,-0.05737373036528747,7.18562874251497,N/A
36,PNR,57.37,34,0.2456757755770267,66.06786427145708,0.544744069430574,82.83433133732535,0.1525086649114386,49.9001996007984,0.08239387405145326,75.0499001996008,N/A
37,PNC,165.875,11,0.05343928122868741,40.5189620758483,0.6348288031740675,89.02195608782435,0.3976279048838267,85.42914171656687,0.1253874879664737,88.22355289421158,N/A
38,PM,84.44,23,0.02414592294172218,36.327345309381236,0.17374382473466188,33.93213572854291,0.06594836176626252,31.3373253493014,0.03176351652303504,47.70459081836327,N/A
39,PLD,101.58,19,0.1078047759694764,49.30139720558882,0.01692220668836963,10.379241516966067,-0.09782134360996458,2.3952095808383236,-0.01721125643506693,20.758483033932134,N/A
40,PKI,162.88,12,0.6331402639631502,93.41317365269461,0.6130920293689374,88.02395209580838,0.2610042500571134,69.86027944111777,0.11741685662872627,86.42714570858283,N/A
41,PKG,148.4,13,0.4407226422350658,86.22754491017965,0.4991300278582245,78.44311377245509,0.3094296255379106,76.84630738522954,0.08425699432968335,76.24750499001996,N/A
42,PHM,41.928,46,0.08910210905496715,45.90818363273453,0.2633838214221887,47.50499001996008,-0.09755011530983848,2.5948103792415167,-0.02283721619535381,17.16566866267465,N/A
43,PH,295.15,6,0.3986622132584348,82.63473053892216,0.5622468400471775,84.63073852295409,0.3015598644419211,75.84830339321357,0.0368348355762371,49.9001996007984,N/A
44,PGR,95.97,20,0.3727767812102621,81.63672654690619,0.2761090615024786,50.0998003992016,0.0304490143307035,21.956087824351297,0.1022333479095481,81.83632734530939,N/A
45,PG,143.4,13,0.17081342493187168,57.28542914171657,0.15073230408034932,30.33932135728543,-0.008012796962457757,15.169660678642716,0.008641589935640678,33.73253493013972,N/A
46,PFG,51.89,37,-0.01746363554811906,28.542914171656687,0.2954909318253789,52.69461077844312,0.220324003341978,62.6746506986028,0.02054619321811572,39.920159680638726,N/A
47,PFE,38.45,50,-0.004689276853068016,30.538922155688624,0.1116451619472227,23.353293413173652,0.027091914315370128,21.55688622754491,-0.10553804173196106,1.7964071856287425,N/A
48,PEP,145.27,13,0.09805674713409487,47.70459081836327,0.08372237019126894,19.760479041916167,0.04839817270980675,26.746506986027946,-0.019967598363012557,19.560878243512974,N/A
49,PEG,59.33,33,0.00042676527897709914,32.13572854291417,0.13097837692296943,27.14570858283433,-0.008113490914600108,14.770459081836327,-0.01692267228481632,20.958083832335326,N/A
50,PEAK,29.0,67,-0.1347670556183811,16.367265469061877,0.07814670951856058,18.163672654690618,0.0159030264761715,18.962075848303392,-0.07584269819492002,3.992015968063872,N/A
